Word,Source,Meaning
අ,In Both,පැමිණි
අග,In Both,ප්‍රථම
අගත,In Both,පැමිණි
අගතන,In Both,(අබි)අනුරාධි
අගත්,In Both,
අගියහ,In Both,
අඝත,In Both,
අචරිය,In Both,ඇදුරා
අචිරිය,In Both,ඇදුරු
අතිමතකහ,In Both,
අතිවශික,In Both,අතවැසි
අතෙවශික,In Both,අතවැසි
අදෙක,In Both,අධිකාරි
අනගත,In Both,නොපැමිණි හෝ මතු
අනද,In Both,
අනාගත,In Both,
අනුඩි,In Both,අනුරාධා
අනුඩිය,In Both,
අනුරද,In Both,අනුරාධ
අනුරදශ,In Both,
අනුරදි,In Both,
අපරිමිත,In Both,සීමා රහිත
අබයශ,In Both,
අබයහ,In Both,
අබයෙ,In Both,
අබහ,In Both,අබය
අබි,In Both,කුමාරිය
අබිඣිගුතහ,In Both,
අබිඣිය,In Both,අබිජිත් නැකත
අමතෙ,In Both,අමාත්‍ය
අයක,In Both,ආදායම් එකතු කරන්නා
අයහ,In Both,අසුබ
අයිමරහ,In Both,
අශ,In Both,අශ්ව
අශය,In Both,
අශි,In Both,ආයුශ්මත්
අශිය,In Both,ආයුශ්මත්
අශෙ,In Both,
ඉදශල,In Both,ඉන්ද්‍රශාල
ඉම,In Both,සීමාව
ඉශිගුතහ,In Both,සෘෂිගුප්ත
උතර,In Both,උතුම්
උතරශ,In Both,
උතරහ,In Both,
උතරිහ,In Both,ඉතිරිය
උති,In Both,උත්තිය
උතිය,In Both,උත්තිය
උතියහ,In Both,උත්තිය
උතිරික,In Both,ඉතිරි
උදයහ,In Both,
උපට,In Both,
උපතිශ,In Both,උපතිස්ස
උපතිශහ,In Both,උපතිස්ස
උපරඣ,In Both,උපරාජ
උපලය,In Both,උපුලි
උපලි,In Both,උපාලි
උපලිය,In Both,
උපශක,In Both,උපාසක
උපශික,In Both,උපාසිකා
උපසක,In Both,උපාසක
උපසික,In Both,උපාසිකා
එක,In Both,එක්
එරකපි,In Both,
ඔඣක,In Both,වජ්ජි ගෝත්‍රික
ක,In Both,කවරකු
කචලිය,In Both,
කඩිය,In Both,කාලිය
කණ,In Both,අන්ධ
කණගුතශ,In Both,
කණතිශහ,In Both,
කණිකණටිය,In Both,
කබර,In Both,කුඹුර
කබොඣහ,In Both,කාම්බෝජ
කම,In Both,වැඩ
කමෙ,In Both,
කර,In Both,කරවා
කරපිට,In Both,
කරපිතෙ,In Both,
කරිත,In Both,කැරැ වු
කරිතෙ,In Both,කරවන ලදි
කරිතේ,In Both,කරවන ලදි
කශබිය,In Both,
කුටෙ,In Both,
කුඩක,In Both,
කුණික,In Both,
කුතරගය,In Both,
කුබිර,In Both,
කුබිලිය,In Both,
කුමරතිහ,In Both,
කුමරදතශ,In Both,
කුමරහ,In Both,
කුමි,In Both,
කුලහ,In Both,
කොඣර,In Both,
කොටගරික,In Both,
ඛරපිතෙ,In Both,
ගණක,In Both,
ගණශ,In Both,
ගපති,In Both,
ගපිති,In Both,
ගමණි,In Both,
ගමික,In Both,
ගමිකහ,In Both,
ගමිණි,In Both,
ගහපති,In Both,
ගාමිණි,In Both,
ගුටක,In Both,
ගුත,In Both,
ගුතශ,In Both,
ගුතහ,In Both,
ගුතෙන,In Both,
ගොතමශ,In Both,
ගොති,In Both,
ගොබුතිය,In Both,
ච,In Both,
චතහ,In Both,
චතු,In Both,
චදක,In Both,
චදු,In Both,
චනිශත,In Both,
චලල,In Both,
චලි,In Both,
චිතගුතහ,In Both,
චිතහ,In Both,
චීරෙචෙ,In Both,
චුඩ,In Both,
චුඩතිශහ,In Both,
චුඩහ,In Both,
චුඩි,In Both,
චුලශ,In Both,
චුලහ,In Both,
චුලු,In Both,
චෙම,In Both,
ඣනන,In Both,
ඣනහ,In Both,
ඣමත,In Both,
ඣය,In Both,
ඣයඅබි,In Both,
ඣි,In Both,
ඣිත,In Both,
ඣිතය,In Both,
ඣිශ,In Both,
ඣුවය,In Both,
ත,In Both,
තබර,In Both,
තශ,In Both,
තිණි,In Both,
තින,In Both,
තිනි,In Both,
තිපණගහෙ,In Both,
තිරි,In Both,
තිශ,In Both,
තිශගුත,In Both,
තිශගුතහ,In Both,
තිශදත,In Both,
තිශබුතිය,In Both,
තිශමිත,In Both,
තිශමිතහ,In Both,
තිශය,In Both,
තිශයශ,In Both,
තිශයහ,In Both,
තිශරකිත,In Both,
තිශශ,In Both,
තිශහ,In Both,
තිශෙ,In Both,
තිස,In Both,
තිසහ,In Both,
තුලදර,In Both,
තෙන,In Both,
තෙර,In Both,
තෙරශ,In Both,
තෙරහ,In Both,
තෙරෙන,In Both,
තොටගමිය,In Both,
දත,In Both,
දතය,In Both,
දතශ,In Both,
දතහ,In Both,
දනතක,In Both,
දනමිතශ,In Both,
දනියශ,In Both,
දනෙ,In Both,
දමගුත,In Both,
දමගුතහ,In Both,
දමතෙරශ,In Both,
දමය,In Both,
දමරකිත,In Both,
දමරකිතශ,In Both,
දමරකිතහ,In Both,
දමරකිතෙන,In Both,
දමරඣශ,In Both,
දමශෙන,In Both,
දමශෙනෙ,In Both,
දමුතරහ,In Both,
දමෙඩ,In Both,
දරක,In Both,
දි,In Both,
දිගතිශ,In Both,
දිගතිශශ,In Both,
දිනනි,In Both,
දිනශ,In Both,
දිනහ,In Both,
දිනි,In Both,
දිනෙ,In Both,
දිශ,In Both,
දිශශ,In Both,
දිශික,In Both,
දිසික,In Both,
දුටික,In Both,
දුතකහ,In Both,
දෙවගුතහ,In Both,
දෙවනපිය,In Both,
දෙවනපියහ,In Both,
දෙවරකිතශ,In Both,
දෙවරමණ,In Both,
දෙවහ,In Both,
දොදශ,In Both,
ධශදිශතො,In Both,
ධිනෙ,In Both,
න,In Both,
නකහ,In Both,
නග,In Both,
නගදතහ,In Both,
නගදිනශ,In Both,
නගය,In Both,
නගයහ,In Both,
නගර,In Both,
නගශ,In Both,
නගශෙන,In Both,
නගහ,In Both,
නගුලිය,In Both,
නට,In Both,
නදහ,In Both,
නදික,In Both,
නදිකශ,In Both,
නම,In Both,
නව,In Both,
නශත,In Both,
නියතෙ,In Both,
නුගුය,In Both,
පකර,In Both,
පචින,In Both,
පටකණ,In Both,
පටකෙ,In Both,
පටල,In Both,
පටිබන,In Both,
පටිබනකුටෙ,In Both,
පණිත,In Both,
පතිටපිටෙ,In Both,
පදගඩ,In Both,
පදිටිතෙ,In Both,
පරාසරිස,In Both,
පරිඣය,In Both,
පරුමක,In Both,
පරුමකඅදිලිය,In Both,
පරුමකලු,In Both,
පරෙමක,In Both,
පවත,In Both,
පශදෙ,In Both,
පශු,In Both,
පිගල,In Both,
පිතශ,In Both,
පිතහ,In Both,
පුගියන,In Both,
පුඩලඣකෙ,In Both,
පුණ,In Both,
පුත,In Both,
පුතන,In Both,
පුතනු,In Both,
පුතශ,In Both,
පුතහ,In Both,
පුතා,In Both,
පුති,In Both,
පුතෙ,In Both,
පුනශුගුතහ,In Both,
පුලය,In Both,
පුලයශ,In Both,
පුශ,In Both,
පුශක,In Both,
පුශගුත,In Both,
පුශගුතශ,In Both,
පුශදෙව,In Both,
පුශදෙවශ,In Both,
පුශදෙවහ,In Both,
පුශබුතිය,In Both,
පුශය,In Both,
පුශහ,In Both,
පුස,In Both,
පොචනි,In Both,
පොල,In Both,
ඵරිබොගයෙ,In Both,
බගිනිය,In Both,
බගිනියන,In Both,
බඩකරික,In Both,
බණක,In Both,
බත,In Both,
බතකරක,In Both,
බතික,In Both,
බතිකණ,In Both,
බතිකහ,In Both,
බදිර,In Both,
බම,In Both,
බමණ,In Both,
බමදතහ,In Both,
බයබෙරවෙ,In Both,
බරත,In Both,
බරිය,In Both,
බරියන,In Both,
බැරිය,In Both,
බිකු,In Both,
බුතහ,In Both,
බුතිය,In Both,
බුදරකිත,In Both,
බුදරකිතශ,In Both,
බොඣික,In Both,
ම,In Both,
මගශ,In Both,
මගිලය,In Both,
මඣිම,In Both,
